space_number,title,type,side,facing,color_group,cost_or_fee,board_text,visual_icon,asset_filename,deed_or_deck_connection,production_notes
1,Start Session,corner,bottom,bottom_edge,none,Collect 200,START SESSION / COLLECT 200 BUD BUCKS,start arrow with smoke trail and cannabis leaf,space_01_start_session.svg,none,Large corner; must read as starting point
2,Acapulco Gold,property,bottom,bottom_edge,brown,60,ACAPULCO GOLD / 60 BUD BUCKS,gold sun with small golden nug,space_02_acapulco_gold.svg,deed_acapulco_gold.svg,Small first property; bold price
3,Community Stash,card,bottom,bottom_edge,none,Draw card,COMMUNITY STASH / DRAW CARD,stash chest or jar with leaf mark,space_03_community_stash.svg,community_stash_deck,Reusable card space style
4,Maui Wowie,property,bottom,bottom_edge,brown,60,MAUI WOWIE / 60 BUD BUCKS,tropical wave with leaf,space_04_maui_wowie.svg,deed_maui_wowie.svg,Pair with Acapulco Gold
5,420 Tax,tax,bottom,bottom_edge,none,Pay 200,420 TAX / PAY 200 BUD BUCKS,420 receipt or tax stamp,space_05_420_tax.svg,none,Fee space not ownable
6,Indica,category,bottom,bottom_edge,category,200,INDICA / 200 BUD BUCKS,indica badge with couch/moon feel,space_06_indica.svg,deed_indica.svg,Category deed; railroad-style rent scaling
7,Northern Lights,property,bottom,bottom_edge,light_blue,100,NORTHERN LIGHTS / 100 BUD BUCKS,aurora over cannabis leaf,space_07_northern_lights.svg,deed_northern_lights.svg,Light blue set
8,High Chance,card,bottom,bottom_edge,none,Draw card,HIGH CHANCE / DRAW CARD,large question mark made of smoke,space_08_high_chance.svg,high_chance_deck,Reusable card space style
9,Jack Herer,property,bottom,bottom_edge,light_blue,100,JACK HERER / 100 BUD BUCKS,pen nib or heritage badge with leaf,space_09_jack_herer.svg,deed_jack_herer.svg,Light blue set
10,Durban Poison,property,bottom,bottom_edge,light_blue,120,DURBAN POISON / 120 BUD BUCKS,lightning spear with leaf,space_10_durban_poison.svg,deed_durban_poison.svg,Light blue set high property
11,Trim Jail / Just Visiting,corner,left,left_edge,none,None,TRIM JAIL / JUST VISITING,trim scissors and simple bars,space_11_trim_jail.svg,none,Corner; left side orientation
12,White Widow,property,left,left_edge,pink,140,WHITE WIDOW / 140 BUD BUCKS,white spiderweb leaf,space_12_white_widow.svg,deed_white_widow.svg,Pink set
13,Grow Lights,utility,left,left_edge,utility,150,GROW LIGHTS / 150 BUD BUCKS,grow light fixture shining on leaf,space_13_grow_lights.svg,deed_grow_lights.svg,Utility; rent by dice roll
14,Blueberry,property,left,left_edge,pink,140,BLUEBERRY / 140 BUD BUCKS,blue berry cluster with leaf,space_14_blueberry.svg,deed_blueberry.svg,Pink set
15,Granddaddy Purple,property,left,left_edge,pink,160,GRANDDADDY PURPLE / 160 BUD BUCKS,purple crown and grape cluster,space_15_granddaddy_purple.svg,deed_granddaddy_purple.svg,Pink set high property
16,Sativa,category,left,left_edge,category,200,SATIVA / 200 BUD BUCKS,sativa badge with sun/energy rays,space_16_sativa.svg,deed_sativa.svg,Category deed
17,Community Stash,card,left,left_edge,none,Draw card,COMMUNITY STASH / DRAW CARD,stash chest or jar with leaf mark,space_17_community_stash.svg,community_stash_deck,Card space; left orientation
18,Green Crack,property,left,left_edge,orange,180,GREEN CRACK / 180 BUD BUCKS,green lightning crack symbol,space_18_green_crack.svg,deed_green_crack.svg,Orange set
