queue_id,asset_name,asset_type,source_data_file,source_key,required_exact_text,orientation,layout_order,color_or_family,visual_icon_direction,output_requirement,acceptance_focus
Q-001,Blank Board Base,board_base,data/game_config.json,board,"No final text on production base",upright,"40-space grid; center safe zones; no final icons",board_base,"Cream parchment board skeleton; deep green borders",SVG + PNG proof + PDF,Exactly 40 spaces; 4 corners; 9 non-corner spaces per side
Q-002,Bottom Property Proof - Acapulco Gold,property_tile,data/board_space_asset_spec.csv,space_number 2,"ACAPULCO GOLD / 60 / BUD BUCKS",bottom_edge,"Color bar > Title > Image > Bottom Price",brown,"gold sun with small golden nug",SVG + transparent PNG,Image between title and price; price at bottom; faces bottom
Q-003,Left Property Proof - Blue Dream,property_tile,data/board_space_asset_spec.csv,space_number 20,"BLUE DREAM / 200 / BUD BUCKS",left_edge,"Color bar > Title > Image > Bottom Price",orange,"blue dream cloud with crescent moon",SVG + transparent PNG,Image between title and price; price at bottom; faces left
Q-004,Top Property Proof - GSC,property_tile,data/board_space_asset_spec.csv,space_number 22,"GSC / 220 / BUD BUCKS",top_edge,"Color bar > Title > Image > Bottom Price",red,"cookie leaf badge",SVG + transparent PNG,Image between title and price; price at bottom; faces top
Q-005,Right Property Proof - OG Kush,property_tile,data/board_space_asset_spec.csv,space_number 38,"OG KUSH / 350 / BUD BUCKS",right_edge,"Color bar > Title > Image > Bottom Price",dark_blue,"OG crown / kush leaf",SVG + transparent PNG,Image between title and price; price at bottom; faces right
Q-006,High Chance Space Proof,card_space,data/board_space_asset_spec.csv,space_number 8,"HIGH CHANCE / DRAW CARD",bottom_edge,"Deck name > Icon > DRAW CARD",High Chance,"smoke question mark",SVG + transparent PNG,Deck name readable; draw card text clear
Q-007,Community Stash Space Proof,card_space,data/board_space_asset_spec.csv,space_number 3,"COMMUNITY STASH / DRAW CARD",bottom_edge,"Deck name > Icon > DRAW CARD",Community Stash,"stash chest or jar with leaf mark",SVG + transparent PNG,Deck name readable; draw card text clear
Q-008,Indica Category Space Proof,category_space,data/board_space_asset_spec.csv,space_number 6,"INDICA / 200 / BUD BUCKS",bottom_edge,"Title > Image > Bottom Price",category,"indica badge with couch/moon feel",SVG + transparent PNG,Readable category badge; price clear
Q-009,Grow Lights Utility Space Proof,utility_space,data/board_space_asset_spec.csv,space_number 13,"GROW LIGHTS / 150 / BUD BUCKS",left_edge,"Title > Image > Bottom Price",utility,"grow light fixture shining on leaf",SVG + transparent PNG,Readable utility name; price clear; faces left
Q-010,420 Tax Space Proof,tax_space,data/board_space_asset_spec.csv,space_number 5,"420 TAX / PAY 200 / BUD BUCKS",bottom_edge,"Title > Image > Bottom Fee",tax,"420 receipt or tax stamp",SVG + transparent PNG,Fee text clear; not styled like ownable property
Q-011,Start Session Corner Proof,corner_space,data/board_space_asset_spec.csv,space_number 1,"START SESSION / COLLECT 200 BUD BUCKS",bottom_edge,"Corner title > Image > Rule text",corner,"start arrow with smoke trail and cannabis leaf",SVG + transparent PNG,Corner readable; start direction clear
